isla,lobera,codigo,latitud,longitud,tipologia,importancia,year,macho,hembra,adultos,agua,juveniles,cachorros_tierra,cachorros_agua,desconocido,total,total_adultos,total_cachorros,autor,status
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1984,1,2,,,20,0,,0,23,23,0,Cardenas J.,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1993,,,33,,,3,,,36,33,3,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1996,,,208,,,111,,,319,208,111,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,6272543.48,Reproductiva,No clave,1997,,,101,,,7,,,108,101,7,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1998,,,87,24,76,14,,,201,187,14,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,1999,,,151,8,,23,,,182,159,23,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2000,,,91,105,,51,,,247,196,51,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2001,,,404,36,,92,,,532,440,92,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2002,,,,139,,,,,139,139,0,CONAF  ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2003,,,151,139,,144,,,434,290,144,Osman,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2004,,,211,,,137,,,348,211,137,Osman,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2005,97,314,,165,16,107,0,0,699,592,107,Osman ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2006,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2007,,,417,35,,216,,,668,452,216,CONAF ,Completo
Robinson Crusoe,Bahia el padre,RC1,6272543.48,691362.52,Reproductiva,No clave,2008,,,1205,248,,230,,,1683,1453,230,CONAF ,Completo
